player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Truck Robinson,44.99,elite individual peak,55.3,53.0,55.6,False
George Johnson,44.95,elite individual peak,57.5,53.5,56.8,False
Kurt Rambis,44.92,elite individual peak,56.5,55.1,57.6,False
Royce O'Neale,44.86,elite individual peak,53.9,49.9,51.3,False
Herb Williams,44.84,elite individual peak,52.4,49.0,50.1,False
Cuttino Mobley,44.83,elite individual peak,52.3,49.8,50.8,False
Chris Kaman,44.82,elite individual peak,56.4,52.3,53.5,False
Udonis Haslem,44.78,elite individual peak,58.1,53.4,55.8,False
JaVale McGee,44.78,elite individual peak,64.5,54.3,55.7,False
Ryan Anderson,44.78,elite individual peak,59.2,55.4,56.6,False
Kevin Martin,44.75,elite individual peak,59.1,52.9,53.9,False
Tyler Herro,44.72,elite individual peak,62.5,52.9,55.2,False
Brandon Clarke,44.7,elite individual peak,61.7,54.9,56.4,False
Phil Ford,44.7,elite individual peak,63.9,57.0,59.0,False
Tyrone Corbin,44.69,elite individual peak,52.6,50.6,52.1,False
Jerome Williams,44.69,elite individual peak,60.7,58.1,59.6,False
John Bagley,44.68,elite individual peak,61.2,54.7,55.9,False
Travis Best,44.67,elite individual peak,60.9,54.9,56.9,False
Jordan Poole,44.66,elite individual peak,59.6,49.3,51.4,False
B.J. Armstrong,44.59,elite individual peak,55.0,54.4,56.7,False
Samuel Dalembert,44.56,elite individual peak,57.2,56.1,57.4,False
Derek Fisher,44.55,elite individual peak,50.4,47.9,49.9,False
Drew Gooden,44.52,elite individual peak,58.5,57.9,59.8,False
Jim Jackson,44.49,elite individual peak,49.7,46.2,47.9,False
Ervin Johnson,44.47,elite individual peak,55.9,55.2,57.0,False
Bismack Biyombo,44.45,elite individual peak,62.3,55.5,57.2,False
Franz Wagner,44.41,elite individual peak,57.0,53.7,55.2,False
Jakob Poeltl,44.34,elite individual peak,58.4,55.4,56.7,False
DeSagana Diop,44.29,elite individual peak,56.9,54.0,55.6,False
Andrew Wiggins,44.29,elite individual peak,49.3,45.2,47.0,False
Tyrus Thomas,44.28,elite individual peak,59.3,53.8,55.1,False
Taj Gibson,44.28,elite individual peak,55.0,53.4,55.1,False
Payton Pritchard,44.26,elite individual peak,61.1,57.1,59.0,False
Ed Pinckney,44.25,elite individual peak,59.1,54.6,56.7,False
Larry Drew,44.22,elite individual peak,59.1,55.9,57.4,False
Reggie King,44.2,elite individual peak,61.1,53.1,54.9,False
Craig Ehlo,44.15,elite individual peak,54.9,50.6,52.4,False
Amir Johnson,44.14,elite individual peak,56.7,54.3,55.5,False
Roy Hinson,44.09,elite individual peak,52.6,50.8,52.0,False
Danny Schayes,44.08,elite individual peak,63.9,53.8,55.2,False
Leandro Barbosa,44.04,elite individual peak,58.8,51.8,53.3,False
Bobby Phills,44.03,elite individual peak,52.2,48.8,50.3,False
Bobby Portis,44.01,elite individual peak,59.3,58.0,59.7,False
Kenneth Faried,44.01,elite individual peak,60.5,58.4,59.8,False
P.J. Tucker,43.99,elite individual peak,51.0,48.0,50.0,False
Darwin Cook,43.97,elite individual peak,57.1,54.9,56.7,False
Jae Crowder,43.95,elite individual peak,51.5,50.2,52.0,False
Al-Farouq Aminu,43.95,elite individual peak,53.9,50.5,52.1,False
Derek Anderson,43.93,elite individual peak,54.3,52.5,54.3,False
Jon Barry,43.86,elite individual peak,58.5,54.2,56.3,False
Mickey Johnson,43.85,elite individual peak,55.5,55.2,56.9,False
Raef LaFrentz,43.82,elite individual peak,56.8,52.5,53.9,False
Avery Bradley,43.79,2x All-Def,46.0,43.1,45.4,False
JJ Redick,43.77,elite individual peak,54.0,51.8,53.1,False
Marvin Williams,43.76,elite individual peak,50.1,46.2,47.3,False
John Williams,43.75,elite individual peak,56.5,53.6,54.9,False
Kyle Macy,43.74,elite individual peak,55.2,52.2,54.2,False
Donte DiVincenzo,43.68,elite individual peak,56.4,51.8,54.0,False
Damon Jones,43.68,elite individual peak,62.3,54.9,56.8,False
Rodney Stuckey,43.68,elite individual peak,52.6,50.3,51.4,False
Allen Leavell,43.6,elite individual peak,59.8,55.3,57.3,False
Billy Owens,43.59,elite individual peak,52.9,50.0,51.0,False
Johnny Dawkins,43.58,elite individual peak,61.9,53.2,54.8,False
Malcolm Brogdon,43.58,elite individual peak,58.6,53.5,55.2,False
Terry Rozier,43.54,elite individual peak,53.2,48.0,49.3,False
Lonnie Shelton,43.54,elite individual peak,57.8,44.2,46.2,False
Reggie Williams,43.51,elite individual peak,51.9,50.7,52.3,False
Bojan Bogdanovic,43.49,elite individual peak,54.0,50.4,51.7,False
Olden Polynice,43.46,elite individual peak,54.7,51.5,52.5,False
Bonzi Wells,43.45,elite individual peak,54.6,50.9,52.0,False
